<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
gazp,60,20200331,110000,93.8500000,95.9800000,93.7000000,95.4100000,3435570
gazp,60,20200331,120000,95.4000000,96.0000000,95.1100000,95.9400000,1337370
gazp,60,20200331,130000,95.9100000,96.5000000,95.7600000,96.1400000,1858240
gazp,60,20200331,140000,96.1000000,96.3000000,95.5100000,96.1300000,1075250
gazp,60,20200331,150000,96.0400000,96.4500000,94.7900000,95.2400000,1658420
gazp,60,20200331,160000,95.2200000,95.8200000,93.9100000,95.7100000,2254540
gazp,60,20200331,170000,95.7100000,96.1000000,94.8100000,95.6900000,2632140
gazp,60,20200331,180000,95.6800000,97.0000000,95.6700000,96.5600000,3389570
gazp,60,20200331,190000,96.5700000,97.2500000,95.5400000,97.2500000,3418480
gazp,60,20200401,110000,95.8000000,96.7400000,95.0300000,96.6900000,2772460
gazp,60,20200401,120000,96.6900000,97.2400000,96.3600000,96.8700000,1962220
gazp,60,20200401,130000,96.8900000,97.0000000,95.7700000,96.3000000,1220210
gazp,60,20200401,140000,96.2400000,96.5000000,95.8400000,96.2400000,992250
gazp,60,20200401,150000,96.2600000,96.8000000,96.0000000,96.7400000,755350
gazp,60,20200401,160000,96.7100000,96.8000000,96.2000000,96.2100000,612590
gazp,60,20200401,170000,96.2000000,96.5600000,95.7700000,96.3500000,2064090
gazp,60,20200401,180000,96.2900000,96.8000000,96.2600000,96.5100000,2215510
gazp,60,20200401,190000,96.5100000,96.7200000,95.9800000,96.7100000,2556730
gazp,60,20200402,110000,97.4800000,98.2300000,96.1000000,96.3700000,2752290
gazp,60,20200402,120000,96.3500000,96.9600000,96.3500000,96.4900000,1555930
gazp,60,20200402,130000,96.5000000,96.6600000,96.3800000,96.4200000,738910
gazp,60,20200402,140000,96.4200000,96.5000000,96.3000000,96.4700000,660590
gazp,60,20200402,150000,96.4700000,96.5000000,96.0000000,96.3300000,1530480
gazp,60,20200402,160000,96.3300000,96.3500000,95.8800000,96.0000000,668180
gazp,60,20200402,170000,96.0300000,96.0400000,95.2700000,95.5600000,1790630
gazp,60,20200402,180000,95.5700000,97.9700000,95.3500000,97.1600000,3356010
gazp,60,20200402,190000,97.2800000,97.9000000,95.6000000,97.2500000,3301140
gazp,60,20200403,110000,97.0000000,98.7600000,96.7100000,98.4000000,2801600
gazp,60,20200403,120000,98.4300000,99.9800000,98.2100000,99.8700000,4059180
gazp,60,20200403,130000,99.8800000,99.9500000,99.0000000,99.5000000,1682220
gazp,60,20200403,140000,99.5400000,99.5400000,98.9000000,99.2300000,1119320
gazp,60,20200403,150000,99.3000000,99.6200000,98.7100000,99.6100000,1133400
gazp,60,20200403,160000,99.6100000,100.0200000,99.5200000,99.8100000,1894110
gazp,60,20200403,170000,99.8500000,99.9500000,98.5100000,98.8600000,1197270
